Item Type,Product ID,Product Name,Product Type,Product Code/SKU,Bin Picking Number,Brand Name,Option Set,Option Set Align,Product Description,Price,Cost Price,Retail Price,Sale Price,Fixed Shipping Cost,Free Shipping,Product Warranty,Product Weight(OZ),Product Length,Product Width,Product Height,Allow Purchases?,Product Visible?,Product Availability,Track Inventory,Current Stock Level,Low Stock Level,Category,Product Image File - 1,Product Image File - 2,Product Image Description - 1,Product Image Is Thumbnail - 1,Product Image Sort - 1,Product Image ID - 2,Product Image File - 3,Product Image Description - 2,Product Image Is Thumbnail - 2,Product Image Sort - 2,Search Keywords,Page Title,Meta Keywords,Meta Description,MYOB Asset Acct,MYOB Income Acct,MYOB Expense Acct,Product Condition,Show Product Condition?,Event Date Required?,Event Date Name,Event Date Is Limited?,Event Date Start Date,Event Date End Date,Sort Order,Product Tax Class,Product UPC/EAN,Stop Processing Rules,Product URL,Redirect Old URL?,GPS Global Trade Item Number,GPS Manufacturer Part Number,GPS Gender,GPS Age Group,GPS Color,GPS Size,GPS Material,GPS Pattern,GPS Item Group ID,GPS Category,GPS Enabled
,AIR11834,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Picatinny Rings, Black",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in a Matte Black Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 34mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20 Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.09,18.5,8.1,5.8,,,,,,,Mounting Systems,AIR11834_PRO_1.jpg,AIR11834_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG New,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR11834AB,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Picatinny Rings, Blue",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in a Blue Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 34mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20 Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,6.91,18.5,8.1,5.8,,,,,,,Mounting Systems,AIR11834AB_PRO_1.jpg,AIR11834AB_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG ACCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR11834AR,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Picatinny Rings, Red",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in a Red Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 34mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20 Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.05,18.5,8.1,5.8,,,,,,,Mounting Systems,AIR11834AR_PRO_1.jpg,AIR11834AR_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG ACCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR11834D,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Picatinny Rings, FDE",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 34mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in Flat Dark Earth Cerakote&reg;<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 34mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20  Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.16,18.5,8.1,5.8,,,,,,,Mounting Systems,AIR11834D_PRO_1.jpg,AIR11834D_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG ACCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR11850,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Picatinny Rings, Black",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in a Matte Black Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 50mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20  Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.48,18.8,7.9,5.8,,,,,,,Mounting Systems,AIR11850_PRO_1.jpg,AIR11850_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG New,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR11850AB,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Picatinny Rings, Blue",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in a Blue Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 50mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20 Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.41,18.8,7.9,5.8,,,,,,,Mounting Systems,AIR11850AB_PRO_1.jpg,AIR11850AB_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG ACCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR11850AR,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Picatinny Rings, Red",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in a Red Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 50mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20 Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.27,18.8,7.9,5.8,,,,,,,Mounting Systems,AIR11850AR_PRO_1.jpg,AIR11850AR_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG ACCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR11850M,"UTG&reg; ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Picatinny Rings, Gun Metal",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" Medium Profile 50mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in Gun Metal Cerakote&reg;<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 18mm Saddle Height, 50mm Offset Distance, 100mm Base Length, Medium Profile Fits 1"" Tube Optics with up to a 61mm Outer Objective Diameter<br>&#149; Includes a T20  Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.44,18.8,7.9,5.8,,,,,,,Mounting Systems,AIR11850M_PRO_1.jpg,AIR11850M_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG ACCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR12234,"UTG&reg; ACCU-SYNC&reg; 1"" High Profile 34mm Offset Picatinny Rings",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" High Profile 34mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Aluminum and Finished in a Matte Black Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 22mm Saddle Height, 34mm Offset Distance, 100mm Base Length, High Profile Fits 1"" Tube Optics with up to a 69mm Outer Objective Diameter<br>&#149; Includes a T20  Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.55,19.1,6.4,8.9,,,,,,,Mounting Systems,AIR12234_PRO_1.jpg,AIR12234_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG New,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR12234AB,"UTG&reg; ACCU-SYNC&reg; 1"" High Profile 34mm Offset Picatinny Rings, Blue",,,,UTG,,,"&#149; UTG ACCU-SYNC&reg; 1"" High Profile 34mm Offset Scope Ring Mount for a Precise Fit on MIL-STD-1913 Picatinny Rails<br>&#149; Precision CNC Machined from Aircraft Grade Aluminum and Finished in a Blue Anodize<br>&#149; Significant Lightening Cuts to Massively Reduce Weight Without Compromising Durability <br>&#149; Radiused Edges and Corners to Prevent Snagging, Scratching, or Tearing of Other Gear and for Effortless Access to Scope Windage and Elevation Turrets<br>&#149; Single Mount Utilizes Locking Torx Screws and Square-shaped Integral Recoil Stops For a Secure Zero Hold<br>&#149; 22mm Saddle Height, 34mm Offset Distance, 100mm Base Length, High Profile Fits 1"" Tube Optics with up to a 69mm Outer Objective Diameter<br>&#149; Includes a T20 Torx Wrench for Simple and User Friendly Installation<br><br></font></b><tr><td colspan=2><b><font color=red style='font-size:10px;'><br>NOTE: </font>We recommend to tighten the ring top screws with a torque value of about 25 inch-lb and the side plate screw with torque value of about 35 inch-lb.<font color=red style='font-size:10px;'><br><br>",,,,,,,,7.41,19.1,8.9,6.4,,,,,,,Mounting Systems,AIR12234AB_PRO_1.jpg,AIR12234AB_PRO_2.jpg,,,,,AIR122S_PRO_3.jpg,,,,,,UTG ACCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
